,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link,query_genre
104,ZICO,58,1317740,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,"['k-pop', 'korean r&b']",New thing (Prod. ZICO) (Feat. Homies),Street Man Fighter Original Vol.3 (Mission by Rank),69.0,2022-09-06,147426.0,False,https://open.spotify.com/album/54UUQN3j32n8TA2OJxTcHP,https://open.spotify.com/track/5mdWIwsJAzR97ShGkt8gcR,korean
105,ZICO,58,1317740,https://open.spotify.com/artist/4XpUIb8uuNlIWVKmgKZXC0,"['k-pop', 'korean r&b']",New thing (Prod. ZICO) (Feat. Homies),Street Man Fighter Original Vol.3 (Mission by Rank),69.0,2022-09-06,147426.0,False,https://open.spotify.com/album/54UUQN3j32n8TA2OJxTcHP,https://open.spotify.com/track/5mdWIwsJAzR97ShGkt8gcR,j-pop
106,WANIMA,56,1256503,https://open.spotify.com/artist/6YqdtpUutxodni6lUD4stM,"['j-pop', 'j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']",ともに,Everybody!!,66.0,2018-01-17,207368.0,False,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3,j-pop
107,WANIMA,56,1256503,https://open.spotify.com/artist/6YqdtpUutxodni6lUD4stM,"['j-pop', 'j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']",ともに,Everybody!!,66.0,2018-01-17,207368.0,False,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3,japanese
108,Ikimonogakari,58,1243949,https://open.spotify.com/artist/5YneEA2nLtAhkD5t2769lZ,"['anime', 'j-pop']",ブルーバード,Chou Ikimonobakari Tennen Kinen Members Best Selection,72.0,2006,215706.0,False,https://open.spotify.com/album/6CM8A3Uhws8mAcNOxpBRNq,https://open.spotify.com/track/2XpV9sHBexcNrz0Gyf3l18,j-pop
109,sakanaction,55,1238724,https://open.spotify.com/artist/0hCWVMGGQnRVfDgmhwLIxq,"['hokkaido indie', 'j-pop', 'j-rock', 'japanese electropop']",新宝島,834.194,60.0,2019-06-19,305000.0,False,https://open.spotify.com/album/5pLmzFu2ienSbr1SxBJvwB,https://open.spotify.com/track/4a48lWUd64bZgHUDx0GZlj,japanese
110,sakanaction,55,1238724,https://open.spotify.com/artist/0hCWVMGGQnRVfDgmhwLIxq,"['hokkaido indie', 'j-pop', 'j-rock', 'japanese electropop']",新宝島,834.194,60.0,2019-06-19,305000.0,False,https://open.spotify.com/album/5pLmzFu2ienSbr1SxBJvwB,https://open.spotify.com/track/4a48lWUd64bZgHUDx0GZlj,j-pop
111,Nogizaka46,60,1197802,https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq,"['j-idol', 'j-pop', 'j-pop girl group']",月の大きさ,バレッタ TypeD,59.0,2013-11-27,236293.0,False,https://open.spotify.com/album/2NkG7Ei5PObrNHHcTgXLgF,https://open.spotify.com/track/4bY2oZGA5Br3pTE1Jd1IfY,j-idol
112,Nogizaka46,60,1197802,https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq,"['j-idol', 'j-pop', 'j-pop girl group']",月の大きさ,バレッタ TypeD,59.0,2013-11-27,236293.0,False,https://open.spotify.com/album/2NkG7Ei5PObrNHHcTgXLgF,https://open.spotify.com/track/4bY2oZGA5Br3pTE1Jd1IfY,j-pop
113,Vybz Kartel,62,1188694,https://open.spotify.com/artist/2NUz5P42WqkxilbI8ocN76,"['dancehall', 'jamaican dancehall', 'reggae fusion']",Fever,King Of The Dancehall,66.0,2016-06-10,204500.0,True,https://open.spotify.com/album/2aekHyNMelpHfvD4p5zlOk,https://open.spotify.com/track/0btB1fHGwvipD4IUmyh1vL,j-dance
